".dynamicCommunication.contactPromptText.agentCustomer","contact your travel agent","wende dich an dein Reisebüro"
".dynamicCommunication.contactPromptText.directCustomer","{contactUs}","{contactUs}"
".dynamicCommunication.contactPromptText.directCustomer.contactUs","contact us","kontaktiere uns"
".dynamicCommunication.contactPromptText.agentStaff","contact G Adventures","wende dich an G Adventures"
".dynamicCommunication.voucherEmailText.agent","You will receive your vouchers from your travel agent once all travellers on this booking are Good to Go.","Sobald alle Reisenden in dieser Buchung reisefertig sind, bekommst du deine Voucher von deinem Reisebüro."
".dynamicCommunication.voucherEmailText.direct","Once all of your fellow travellers on this booking are Good to Go, you can access your vouchers in your {GAccount}, in the {GMobile}, and we'll also email them to you just in case.","Sobald alle deine Mitreisenden in dieser Buchung reisefertig sind, hast du über dein {GAccount} und in der {GMobile} Zugriff auf deine Voucher. Zur Sicherheit schicken wir sie dir auch noch per E-Mail."
".dynamicCommunication.voucherEmailText.direct.GAccount","G Account","G-Konto"
".dynamicCommunication.voucherEmailText.direct.GMobile","G Adventures Mobile App","G Adventures App"
".dynamicCommunication.contactPromptWithEmailText.agentCustomer","{contactUs}","{contactUs}"
".dynamicCommunication.contactPromptWithEmailText.agentCustomer.contactUs","experience@gadventures.com","experience@gadventures.com"
".dynamicCommunication.contactPromptWithEmailText.directCustomer","{contactUs}","{contactUs}"
".dynamicCommunication.contactPromptWithEmailText.directCustomer.contactUs","experience@gadventures.com","experience@gadventures.com"
".dynamicCommunication.contactPromptWithEmailText.agentStaff","{contactUs}","{contactUs}"
".dynamicCommunication.contactPromptWithEmailText.agentStaff.contactUs","experience@gadventures.com","experience@gadventures.com"
".formMessages.fieldOptional","Optional","Fakultativ"
".formMessages.errors.authFailedTitle","Verification Failed","Überprüfung fehlgeschlagen"
".formMessages.errors.authFailedMsg","The nationality and date of birth combination entered do not match the customer on file for
                                                this booking. If you're sure your information is correct and you still cannot complete this
                                                verification step, please contact your travel agent or G Adventures.","Die Kombination aus Staatsangehörigkeit und Geburtsdatum stimmt nicht mit den Daten des für diese Buchung gespeicherten Kunden überein. Wenn du sicher bist, dass deine Daten korrekt sind, und du diese Überprüfung dennoch nicht abschließen kannst, wende dich bitte an dein Reisebüro oder an G Adventures."
".formMessages.errors.msgFailed","Reminder email failed to send.
                                            Please ensure you entered in a valid email address, and if the problem persists,
                                            please {contactPrompt}.","Erinnerungs-E-Mail konnte nicht gesendet werden.
Bitte vergewissere dich, dass du eine gültige E-Mail-Adresse eingegeben hast. Wenn das Problem weiterhin besteht, {contactPrompt}."
".formMessages.errors.zeroSchedulesReturned","No scheduled flights found. Please double check your info.","Kein Flug gefunden. Bitte überprüfe deine Angaben."
".formMessages.errors.noScheduleMatch","We found some flights that do not exactly match your info. Please double check your input.","Wir haben Flüge gefunden, die jedoch nicht exakt mit deinen Daten übereinstimmen. Bitte überprüfe deine Eingaben."
".formMessages.errors.segmentNotCreated","We are not able to capture this flight. Please contact us by phone or email.","Wir können diesen Flug nicht erfassen. Bitte kontaktiere uns telefonisch oder per E-Mail."
".formMessages.errors.duplicateSegment","You've entered in the same flight multiple times. Please ensure each flight is different.","Du hast denselben Flug mehrmals eingegeben. Bitte vergewissere dich, dass du jeden Flug nur einmal eingibst."
".formMessages.errors.somethingWentWrong","Uh Oh! Something went wrong...","Hoppla! Da ist etwas schiefgelaufen..."
".formMessages.errors.general","We were unable to submit your changes.
                                                Please {contactPrompt}","Wir konnten deine Änderungen nicht übermitteln. Bitte {contactPrompt}"
".formMessages.errors.fixYourFields","Please fix the fields highlighted below and try again.","Bitte korrigiere die hervorgehobenen Felder unten und versuche es erneut."
".formLockedField.prompt","If a locked field needs to be updated, please {contactUs}.","Bitte {contactUs}, wenn ein gesperrtes Feld geändert werden muss."
".savingModal.saving","Saving","Wird gespeichert"
".formMessages.dueByDate","Due by {date}","Fällig vor dem {date}"
".separatedDateInput.month","Month","Monat"
".separatedDateInput.day","Day","Tag"
".separatedDateInput.year","Year","Jahr"
".requirementSetNames.acknowledgements","Acknowledgements","Bestätigungen"
".requirementSetNames.contactInformation","Contact Information","Kontaktangaben"
".requirementSetNames.emergencyContactInformation","Emergency Contact Information","Notfallkontakt"
".requirementSetNames.flightInformation","Flight Information","Fluginformationen"
".requirementSetNames.insuranceInformation","Insurance Information","Versicherungsinformationen"
